datetime_utc,Demanda real
2019-05-01 19:00:00+00:00,25375.0
2019-05-01 19:10:00+00:00,26022.0
2019-05-01 19:20:00+00:00,26463.0
2019-05-01 19:30:00+00:00,26724.0
2019-05-01 19:40:00+00:00,26857.0
2019-05-01 19:50:00+00:00,26760.0
2019-05-01 20:00:00+00:00,26727.0
2019-05-01 20:10:00+00:00,26440.0
2019-05-01 20:20:00+00:00,26259.0
2019-05-01 20:30:00+00:00,25723.0
2019-05-01 20:40:00+00:00,25428.0
2019-05-01 20:50:00+00:00,25267.0
2019-05-01 21:00:00+00:00,24960.0
2019-05-01 21:10:00+00:00,24780.0
2019-05-01 21:20:00+00:00,24515.0
2019-05-01 21:30:00+00:00,24063.0
2019-05-01 21:40:00+00:00,23764.0
2019-05-01 21:50:00+00:00,23453.0
2019-05-01 22:00:00+00:00,22976.0
2019-05-01 22:10:00+00:00,22980.0
2019-05-01 22:20:00+00:00,22701.0
2019-05-01 22:30:00+00:00,22501.0
2019-05-01 22:40:00+00:00,22168.0
2019-05-01 22:50:00+00:00,21882.0
2019-05-01 23:00:00+00:00,21708.0
2019-05-01 23:10:00+00:00,21478.0
2019-05-01 23:20:00+00:00,21289.0
2019-05-01 23:30:00+00:00,21035.0
2019-05-01 23:40:00+00:00,20772.0
2019-05-01 23:50:00+00:00,20635.0
2019-05-02 00:00:00+00:00,20424.0
2019-05-02 00:10:00+00:00,20453.0
2019-05-02 00:20:00+00:00,20138.0
2019-05-02 00:30:00+00:00,20148.0
2019-05-02 00:40:00+00:00,20087.0
2019-05-02 00:50:00+00:00,20013.0
2019-05-02 01:00:00+00:00,19964.0
2019-05-02 01:10:00+00:00,19947.0
2019-05-02 01:20:00+00:00,19932.0
2019-05-02 01:30:00+00:00,19806.0
2019-05-02 01:40:00+00:00,19799.0
2019-05-02 01:50:00+00:00,19790.0
2019-05-02 02:00:00+00:00,19758.0
2019-05-02 02:10:00+00:00,19803.0
2019-05-02 02:20:00+00:00,19831.0
2019-05-02 02:30:00+00:00,19856.0
2019-05-02 02:40:00+00:00,19850.0
2019-05-02 02:50:00+00:00,19923.0
2019-05-02 03:00:00+00:00,19916.0
2019-05-02 03:10:00+00:00,20081.0
2019-05-02 03:20:00+00:00,20123.0
2019-05-02 03:30:00+00:00,20201.0
2019-05-02 03:40:00+00:00,20494.0
2019-05-02 03:50:00+00:00,20803.0
2019-05-02 04:00:00+00:00,21289.0
2019-05-02 04:10:00+00:00,22117.0
2019-05-02 04:20:00+00:00,22772.0
2019-05-02 04:30:00+00:00,23299.0
2019-05-02 04:40:00+00:00,23715.0
2019-05-02 04:50:00+00:00,23949.0
2019-05-02 05:00:00+00:00,24201.0
2019-05-02 05:10:00+00:00,24886.0
2019-05-02 05:20:00+00:00,24859.0
2019-05-02 05:30:00+00:00,25591.0
2019-05-02 05:40:00+00:00,25904.0
2019-05-02 05:50:00+00:00,26074.0
2019-05-02 06:00:00+00:00,26350.0
2019-05-02 06:10:00+00:00,26976.0
2019-05-02 06:20:00+00:00,27476.0
2019-05-02 06:30:00+00:00,27738.0
2019-05-02 06:40:00+00:00,28095.0
2019-05-02 06:50:00+00:00,28231.0
2019-05-02 07:00:00+00:00,28545.0
2019-05-02 07:10:00+00:00,28797.0
2019-05-02 07:20:00+00:00,28825.0
2019-05-02 07:30:00+00:00,28998.0
2019-05-02 07:40:00+00:00,29071.0
2019-05-02 07:50:00+00:00,29254.0
2019-05-02 08:00:00+00:00,29362.0
2019-05-02 08:10:00+00:00,29499.0
2019-05-02 08:20:00+00:00,29580.0
2019-05-02 08:30:00+00:00,29583.0
2019-05-02 08:40:00+00:00,29797.0
2019-05-02 08:50:00+00:00,29748.0
2019-05-02 09:00:00+00:00,29628.0
2019-05-02 09:10:00+00:00,29744.0
2019-05-02 09:20:00+00:00,29920.0
2019-05-02 09:30:00+00:00,30083.0
2019-05-02 09:40:00+00:00,30020.0
2019-05-02 09:50:00+00:00,30254.0
2019-05-02 10:00:00+00:00,29863.0
2019-05-02 10:10:00+00:00,30259.0
2019-05-02 10:20:00+00:00,30335.0
2019-05-02 10:30:00+00:00,30311.0
2019-05-02 10:40:00+00:00,30369.0
2019-05-02 10:50:00+00:00,30366.0
2019-05-02 11:00:00+00:00,30084.0
2019-05-02 11:10:00+00:00,30329.0
2019-05-02 11:20:00+00:00,30469.0
2019-05-02 11:30:00+00:00,30477.0
2019-05-02 11:40:00+00:00,30016.0
2019-05-02 11:50:00+00:00,30092.0
2019-05-02 12:00:00+00:00,29859.0
2019-05-02 12:10:00+00:00,29893.0
2019-05-02 12:20:00+00:00,29829.0
2019-05-02 12:30:00+00:00,29747.0
2019-05-02 12:40:00+00:00,29490.0
2019-05-02 12:50:00+00:00,29297.0
2019-05-02 13:00:00+00:00,29295.0
2019-05-02 13:10:00+00:00,29084.0
2019-05-02 13:20:00+00:00,29073.0
2019-05-02 13:30:00+00:00,28831.0
2019-05-02 13:40:00+00:00,28837.0
2019-05-02 13:50:00+00:00,28777.0
2019-05-02 14:00:00+00:00,28658.0
2019-05-02 14:10:00+00:00,28538.0
2019-05-02 14:20:00+00:00,28717.0
2019-05-02 14:30:00+00:00,28446.0
2019-05-02 14:40:00+00:00,28584.0
2019-05-02 14:50:00+00:00,28567.0
2019-05-02 15:00:00+00:00,28461.0
2019-05-02 15:10:00+00:00,28628.0
2019-05-02 15:20:00+00:00,28226.0
2019-05-02 15:30:00+00:00,28323.0
